exp_name	q	stim	selected_m	selected_alpha	xrmse	auc	cc	tau
40628_18DIV	691.7872340425532	35	10	0.2	0.0428369937353698	0.9777777777777776	0.5751611646954904	4.76922177447589
40628_18DIV	691.7872340425532	82	10	0.2	0.0609844631440043	0.813953488372093	0.6653777408485799	3.3168053915733258
39559_18DIV_electrical	1319.5	25	25	0.8	0.2059210846768876	0.875	0.1339578234499355	1.062449931959271
40617_31DIV	75.27272727272727	14	50	0.8	0.2629962732029232	0.6964285714285715	0.308562981147284	-0.7729141895472171
40617_31DIV	75.27272727272727	55	50	0.8	0.1820163898409944	0.5833333333333334	-0.0178854882489211	1.2726452969904325
41438_19DIV_electrical	434.0	45	10	0.5	0.0425548904482316	0.7976190476190477	0.6511648631075753	1.2087785572318055
41438_19DIV_electrical	434.0	83	10	0.2	0.0302071072091541	1.0	0.8947633801499922	3.3993427533912204
39566_28DIV	835.2222222222222	26	2	0.5	0.1023269959935534	0.775	0.6595937306225831	-4.236828942849419
39566_28DIV	835.2222222222222	43	2	0.5	0.1341270527347106	0.8	0.469230002804842	2.147404439723872
40627_18DIV_electrical	632.7142857142857	22	50	0.2	0.1270750278656261	0.91812865497076	0.4714395269187024	2.846068458304321
40627_18DIV_electrical	632.7142857142857	44	50	0.2	0.1421755845051558	0.7626262626262627	0.2178965319529814	2.305102628061313
40627_14DIV_electrical	290.1034482758621	44	50	0.2	0.1493277599978505	0.7179487179487181	0.2560844370790543	2.0695931207812106
40323_18DIV	1073.3055555555557	55	2	0.2	0.0559218200186653	0.6464646464646464	0.0530070047257009	1.434135154261469
40323_18DIV	1073.3055555555557	67	2	0.2	0.0759099679523484	0.7870967741935484	0.4392864575011649	1.1167364369143151
41438_20DIV	947.6	47	10	0.2	0.1443866109306375	0.905	0.6008710936458863	4.978898394152381
41438_20DIV	947.6	64	10	0.2	0.1310677705433299	0.6736111111111112	0.4328810847551914	4.211537902856946
41434_19DIV	3706.8888888888887	46	50	0.2	0.087404374164146	0.40625	-0.0056428093892766	6.352970347341049
41434_19DIV	3706.8888888888887	73	50	0.8	0.0892464953057803	0.8222222222222222	0.4625892031454147	4.051132983342457
39566_24DIV	588.0625	54	2	0.2	0.0747542961952447	0.5	0.1058515799899341	2.924409431560545
39566_24DIV	588.0625	78	2	0.2	0.0908678269495363	0.9464285714285716	0.5502590562352849	6.712936323204588
39566_21DIV	1907.8846153846155	34	5	0.2	0.0912439877920542	0.7	0.3364264554102251	2.900213845066498
39566_21DIV	1907.8846153846155	75	5	0.2	0.0647126566065664	0.6086956521739131	0.1573610324131723	3.221668920119481
39559_11DIV_electrical	210.3125	52	1	0.5	0.0564839209655494	0.7818181818181817	0.5854374032465754	-10.981766593886109
39559_11DIV_electrical	210.3125	53	1	0.5	0.0831060769134191	0.3958333333333333	-0.1854263499893771	-34.23189009240624
40628_26DIV	703.0	13	50	0.2	0.0472565183726817	0.8783783783783784	0.6240059476103514	6.4598710799514825
41311_25DIV	831.7631578947369	35	50	0.2	0.1153385608077056	0.6625000000000001	0.180568521915269	3.024891616256205
41311_25DIV	831.7631578947369	55	50	0.2	0.1299699312426514	0.923963133640553	0.3128036808414167	0.5272209640739942
