algorithm	pop	metric	metric_value
RC	4	AUC	0.66667
RC	4	Pearson	0.19838
RC	32	AUC	0.7203
RC	32	Pearson	0.48229
RC	4	AUC	1.0
RC	4	Pearson	0.86754
RC	32	AUC	0.97984
RC	32	Pearson	0.8453
RC	16	AUC	0.93983
RC	16	Pearson	0.77482
RC	4	AUC	0.97917
RC	4	Pearson	0.80175
RC	32	AUC	0.93918
RC	32	Pearson	0.77408
RC	16	AUC	0.73078
RC	16	Pearson	0.3251
RC	16	AUC	0.81972
RC	16	Pearson	0.55869
RC	16	AUC	0.95213
RC	16	Pearson	0.79239
RC	4	AUC	0.60417
RC	4	Pearson	0.17415
RC	16	AUC	0.63282
RC	16	Pearson	0.36646
RC	8	AUC	0.94444
RC	8	Pearson	0.76599
RC	16	AUC	0.99634
RC	16	Pearson	0.91025
RC	60	AUC	0.89611
RC	60	Pearson	0.7637
RC	8	AUC	0.97279
RC	8	Pearson	0.87382
RC	4	AUC	0.6875
RC	4	Pearson	0.64006
RC	8	AUC	0.80225
RC	8	Pearson	0.63327
RC	16	AUC	0.71378
RC	16	Pearson	0.46519
RC	8	AUC	0.775
RC	8	Pearson	0.82015
RC	4	AUC	0.73958
RC	4	Pearson	0.71444
RC	8	AUC	0.57393
RC	8	Pearson	0.15586
RC	4	AUC	0.75
RC	4	Pearson	0.62683
RC	32	AUC	0.96799
RC	32	Pearson	0.82663
RC	60	AUC	0.83484
RC	60	Pearson	0.64607
RC	8	AUC	0.6538
RC	8	Pearson	0.33129
RC	60	AUC	0.56988
RC	60	Pearson	0.11408
RC	60	AUC	0.94209
RC	60	Pearson	0.71962
RC	16	AUC	0.85259
RC	16	Pearson	0.5795
RC	32	AUC	0.66593
RC	32	Pearson	0.46328
RC	4	AUC	0.83333
RC	4	Pearson	0.86783
RC	8	AUC	1.0
RC	8	Pearson	0.83478
RC	32	AUC	0.9723
RC	32	Pearson	0.81847
RC	8	AUC	0.81727
RC	8	Pearson	0.63762
RC	60	AUC	0.74891
RC	60	Pearson	0.33205
RC	8	AUC	0.82313
RC	8	Pearson	0.58063
RC	8	AUC	0.64062
RC	8	Pearson	0.53666
RC	60	AUC	0.56017
RC	60	Pearson	0.2153
RC	32	AUC	0.58434
RC	32	Pearson	0.19625
RC	8	AUC	0.74026
RC	8	Pearson	0.50488
RC	4	AUC	0.8125
RC	4	Pearson	0.89797
RC	32	AUC	0.89542
RC	32	Pearson	0.56727
RC	8	AUC	0.98307
RC	8	Pearson	0.82105
RC	16	AUC	0.76923
RC	16	Pearson	0.33697
RC	4	AUC	0.83333
RC	4	Pearson	0.88971
RC	4	AUC	0.64583
RC	4	Pearson	0.62478
RC	60	AUC	0.77013
RC	60	Pearson	0.39582
RC	32	AUC	0.99822
RC	32	Pearson	0.8916
RC	16	AUC	0.9586
RC	16	Pearson	0.78818
RC	32	AUC	0.9739
RC	32	Pearson	0.79971
RC	60	AUC	0.76168
RC	60	Pearson	0.39314
NormCorr	16	Pearson	0.59655
NormCorr	16	AUC	0.8568
TE	16	Pearson	0.05554
TE	16	AUC	0.48486
NormCorr	16	Pearson	0.70935
NormCorr	16	AUC	0.88075
TE	16	Pearson	0.12278
TE	16	AUC	0.75503
NormCorr	16	Pearson	0.30684
NormCorr	16	AUC	0.60926
TE	16	Pearson	0.23726
TE	16	AUC	0.68961
NormCorr	16	Pearson	0.27805
NormCorr	16	AUC	0.59645
TE	16	Pearson	0.16829
TE	16	AUC	0.6583
NormCorr	16	Pearson	0.32734
NormCorr	16	AUC	0.67346
TE	16	Pearson	0.08275
TE	16	AUC	0.53348
NormCorr	16	Pearson	0.50532
NormCorr	16	AUC	0.72283
TE	16	Pearson	0.07334
TE	16	AUC	0.59184
NormCorr	16	Pearson	0.31034
NormCorr	16	AUC	0.69803
TE	16	Pearson	0.15377
TE	16	AUC	0.60717
NormCorr	16	Pearson	0.42246
NormCorr	16	AUC	0.73492
TE	16	Pearson	0.12505
TE	16	AUC	0.65695
NormCorr	16	Pearson	0.4526
NormCorr	16	AUC	0.68959
TE	16	Pearson	0.08773
TE	16	AUC	0.76807
NormCorr	16	Pearson	0.6235
NormCorr	16	AUC	0.85379
TE	16	Pearson	0.32413
TE	16	AUC	0.77247
NormCorr	32	Pearson	0.25201
NormCorr	32	AUC	0.63709
TE	32	Pearson	0.17068
TE	32	AUC	0.56997
NormCorr	32	Pearson	0.29919
NormCorr	32	AUC	0.66118
TE	32	Pearson	0.08809
TE	32	AUC	0.56308
NormCorr	32	Pearson	0.34208
NormCorr	32	AUC	0.71011
TE	32	Pearson	0.29095
TE	32	AUC	0.79692
NormCorr	32	Pearson	0.34005
NormCorr	32	AUC	0.77253
TE	32	Pearson	0.28441
TE	32	AUC	0.79974
NormCorr	32	Pearson	0.37182
NormCorr	32	AUC	0.71974
TE	32	Pearson	0.04174
TE	32	AUC	0.51835
NormCorr	32	Pearson	0.35219
NormCorr	32	AUC	0.68919
TE	32	Pearson	0.12244
TE	32	AUC	0.53018
NormCorr	32	Pearson	0.07665
NormCorr	32	AUC	0.55742
TE	32	Pearson	0.10405
TE	32	AUC	0.51642
NormCorr	32	Pearson	0.10765
NormCorr	32	AUC	0.56648
TE	32	Pearson	0.03295
TE	32	AUC	0.49985
NormCorr	32	Pearson	0.27828
NormCorr	32	AUC	0.67968
TE	32	Pearson	0.13599
TE	32	AUC	0.78383
NormCorr	32	Pearson	0.42606
NormCorr	32	AUC	0.68434
TE	32	Pearson	0.0417
TE	32	AUC	0.63146
NormCorr	4	Pearson	0.63833
NormCorr	4	AUC	0.82292
TE	4	Pearson	0.01729
TE	4	AUC	0.72917
NormCorr	4	Pearson	0.709
NormCorr	4	AUC	0.82292
TE	4	Pearson	-0.03059
TE	4	AUC	0.70833
NormCorr	4	Pearson	0.88126
NormCorr	4	AUC	0.95833
TE	4	Pearson	0.25687
TE	4	AUC	0.66667
NormCorr	4	Pearson	0.63377
NormCorr	4	AUC	0.82292
TE	4	Pearson	0.04191
TE	4	AUC	0.64583
NormCorr	4	Pearson	0.63101
NormCorr	4	AUC	0.82292
TE	4	Pearson	-0.47749
TE	4	AUC	0.625
NormCorr	4	Pearson	0.7579
NormCorr	4	AUC	0.80208
TE	4	Pearson	0.61031
TE	4	AUC	0.89583
NormCorr	4	Pearson	0.67437
NormCorr	4	AUC	0.82292
TE	4	Pearson	0.62847
TE	4	AUC	0.91667
NormCorr	4	Pearson	0.69727
NormCorr	4	AUC	0.66667
TE	4	Pearson	0.99493
TE	4	AUC	1.0
NormCorr	4	Pearson	0.59849
NormCorr	4	AUC	0.78125
TE	4	Pearson	0.52974
TE	4	AUC	0.8125
NormCorr	4	Pearson	0.75454
NormCorr	4	AUC	0.84375
TE	4	Pearson	-0.30777
TE	4	AUC	0.70833
NormCorr	4	Pearson	0.67559
NormCorr	4	AUC	0.60417
TE	4	Pearson	0.53616
TE	4	AUC	0.89583
NormCorr	60	Pearson	0.01261
NormCorr	60	AUC	0.51501
TE	60	Pearson	0.07718
TE	60	AUC	0.52914
NormCorr	60	Pearson	0.01211
NormCorr	60	AUC	0.51836
TE	60	Pearson	0.09363
TE	60	AUC	0.5526
NormCorr	60	Pearson	0.02212
NormCorr	60	AUC	0.52798
TE	60	Pearson	0.08206
TE	60	AUC	0.50648
NormCorr	60	Pearson	0.07087
NormCorr	60	AUC	0.55356
TE	60	Pearson	0.05967
TE	60	AUC	0.58715
NormCorr	60	Pearson	0.3521
NormCorr	60	AUC	0.68684
TE	60	Pearson	0.16548
TE	60	AUC	0.86811
NormCorr	60	Pearson	0.25403
NormCorr	60	AUC	0.62099
TE	60	Pearson	0.13404
TE	60	AUC	0.69119
NormCorr	60	Pearson	0.18243
NormCorr	60	AUC	0.54292
TE	60	Pearson	0.02877
TE	60	AUC	0.54347
NormCorr	60	Pearson	0.3737
NormCorr	60	AUC	0.70215
TE	60	Pearson	0.37307
TE	60	AUC	0.76718
NormCorr	60	Pearson	0.29479
NormCorr	60	AUC	0.67668
TE	60	Pearson	0.30475
TE	60	AUC	0.75547
NormCorr	8	Pearson	0.49724
NormCorr	8	AUC	0.76327
TE	8	Pearson	0.09643
TE	8	AUC	0.66803
NormCorr	8	Pearson	0.44468
NormCorr	8	AUC	0.62829
TE	8	Pearson	0.37321
TE	8	AUC	0.79099
NormCorr	8	Pearson	0.47643
NormCorr	8	AUC	0.67146
TE	8	Pearson	0.17582
TE	8	AUC	0.7234
NormCorr	8	Pearson	0.67324
NormCorr	8	AUC	0.85
TE	8	Pearson	0.30506
TE	8	AUC	0.7
NormCorr	8	Pearson	0.56931
NormCorr	8	AUC	0.82925
TE	8	Pearson	0.01379
TE	8	AUC	0.74286
NormCorr	8	Pearson	0.56821
NormCorr	8	AUC	0.84245
TE	8	Pearson	0.22301
TE	8	AUC	0.67708
NormCorr	8	Pearson	0.65967
NormCorr	8	AUC	0.90067
TE	8	Pearson	0.39086
TE	8	AUC	0.875
NormCorr	8	Pearson	0.30389
NormCorr	8	AUC	0.61418
TE	8	Pearson	-0.029
TE	8	AUC	0.6829
NormCorr	8	Pearson	0.19334
NormCorr	8	AUC	0.77602
