,sim,pop_num,alg,inh_auc,perc_inh_gt,perc_inh_pred
0,16_pop_stim_full_inh_pto_2,16,RC,0.9778005464480874,4.69,3.12
1,16_pop_stim_full_inh_pto_2,16,CN,0.5,4.69,0.0
2,16_pop_stim_full_inh_pto_2,16,TE,0.5,4.69,0.0
3,16_pop_stim_full_inh_pto_2,16,CC,0.5,4.69,0.0
4,16_pop_stim_isolated_try_1,16,RC,,0.0,0.78
5,16_pop_stim_isolated_try_1,16,CN,,0.0,1.171875
6,16_pop_stim_isolated_try_1,16,TE,,0.0,0.0
7,16_pop_stim_isolated_try_1,16,CC,,0.0,0.0
8,16_pop_stim_isol_full_inh_2,16,RC,0.6450742240215925,3.52,1.95
9,16_pop_stim_isol_full_inh_2,16,CN,0.5,3.52,0.0
10,16_pop_stim_isol_full_inh_2,16,TE,0.5,3.52,0.0
11,16_pop_stim_isol_full_inh_2,16,CC,0.5,3.52,0.0
12,16_pop_stim_full_inh_pto_6,16,RC,0.9837398373983739,3.91,3.12
13,16_pop_stim_full_inh_pto_6,16,CN,0.5,3.91,0.0
14,16_pop_stim_full_inh_pto_6,16,TE,0.5,3.91,0.0
15,16_pop_stim_full_inh_pto_6,16,CC,0.5,3.91,0.0
16,16_pop_stim_full_inh_2,16,RC,0.5823455459770115,9.38,6.64
17,16_pop_stim_full_inh_2,16,CN,0.5,9.38,0.0
18,16_pop_stim_full_inh_2,16,TE,0.5,9.38,0.0
19,16_pop_stim_full_inh_2,16,CC,0.5,9.38,0.0
20,16_pop_stim_full_inh_1,16,RC,0.8691643323996265,7.03,5.08
21,16_pop_stim_full_inh_1,16,CN,0.5,7.03,0.0
22,16_pop_stim_full_inh_1,16,TE,0.5,7.03,0.0
23,16_pop_stim_full_inh_1,16,CC,0.5,7.03,0.0
24,16_pop_stim_full_inh_pto_4,16,RC,0.947410358565737,1.95,6.25
25,16_pop_stim_full_inh_pto_4,16,CN,0.5,1.95,0.0
26,16_pop_stim_full_inh_pto_4,16,TE,0.5,1.95,0.0
27,16_pop_stim_full_inh_pto_4,16,CC,0.5,1.95,0.0
28,16_pop_stim_full_inh,16,RC,0.7024390243902439,3.91,2.73
29,16_pop_stim_full_inh,16,CN,0.5,3.91,0.0
30,16_pop_stim_full_inh,16,TE,0.5,3.91,0.0
31,16_pop_stim_full_inh,16,CC,0.5,3.91,0.0
32,32_pop_stim_isol_full_inh_2,32,RC,0.5751885285486088,2.64,0.29
33,32_pop_stim_isol_full_inh_2,32,CN,0.49949849548645936,2.64,0.0
34,32_pop_stim_isol_full_inh_2,32,TE,0.5,2.64,0.0
35,32_pop_stim_isol_full_inh_2,32,CC,0.5,2.64,0.0
36,32_pop_full_inh_pto_1,32,RC,0.911126113373549,4.59,2.64
37,32_pop_full_inh_pto_1,32,CN,0.5,4.59,0.0
38,32_pop_full_inh_pto_1,32,TE,0.5,4.59,0.0
39,32_pop_full_inh_pto_1,32,CC,0.5,4.59,0.0
40,32_pop_stim_isol_full_inh_1,32,RC,0.7470833333333332,2.34,1.27
41,32_pop_stim_isol_full_inh_1,32,CN,0.5,2.34,0.0
42,32_pop_stim_isol_full_inh_1,32,TE,0.5,2.34,0.0
43,32_pop_stim_isol_full_inh_1,32,CC,0.5,2.34,0.0
44,32_pop_stim_full_inh_1,32,RC,0.5638560923825798,8.01,4.79
45,32_pop_stim_full_inh_1,32,CN,0.5,8.01,0.0
46,32_pop_stim_full_inh_1,32,TE,0.5,8.01,0.0
47,32_pop_stim_full_inh_1,32,CC,0.5,8.01,0.0
48,32_pop_stim_full_inb_2_new,32,RC,0.9994102703683541,2.15,1.27
49,32_pop_stim_full_inb_2_new,32,CN,0.5,2.15,0.0
50,32_pop_stim_full_inb_2_new,32,TE,0.5,2.15,0.0
51,32_pop_stim_full_inb_2_new,32,CC,0.5,2.15,0.0
52,32_pop_stim_full_inb_new,32,RC,0.9954117063492063,1.56,1.66
53,32_pop_stim_full_inb_new,32,CN,0.5,1.56,0.0
54,32_pop_stim_full_inb_new,32,TE,0.5,1.56,0.0
55,32_pop_stim_full_inb_new,32,CC,0.5,1.56,0.0
56,32_pop_stim_full_inh,32,RC,0.7916198523608339,11.62,2.15
57,32_pop_stim_full_inh,32,CN,0.5,11.62,0.0
58,32_pop_stim_full_inh,32,TE,0.5,11.62,0.0
59,32_pop_stim_full_inh,32,CC,0.5,11.62,0.0
60,32_pop_isol_stim_full_inb_2_new,32,RC,0.849480021893815,0.88,0.88
61,32_pop_isol_stim_full_inb_2_new,32,CN,0.49507389162561577,0.88,0.9765625
62,32_pop_isol_stim_full_inb_2_new,32,TE,0.5,0.88,0.0
63,32_pop_isol_stim_full_inb_2_new,32,CC,0.5,0.88,0.0
64,32_pop_full_inh_pto_2,32,RC,0.9897682087091456,4.1,4.79
65,32_pop_full_inh_pto_2,32,CN,0.5,4.1,0.0
66,32_pop_full_inh_pto_2,32,TE,0.5,4.1,0.0
67,32_pop_full_inh_pto_2,32,CC,0.5,4.1,0.0
68,32_pop_isol_stim_full_inb_1_new,32,RC,0.9882121807465618,0.59,2.93
69,32_pop_isol_stim_full_inb_1_new,32,CN,0.5,0.59,0.0
70,32_pop_isol_stim_full_inb_1_new,32,TE,0.5,0.59,0.0
71,32_pop_isol_stim_full_inb_1_new,32,CC,0.5,0.59,0.0
72,4_pop_stim_full_inh_2,4,RC,1.0,6.25,0.0
73,4_pop_stim_full_inh_2,4,CN,0.43333333333333335,6.25,12.5
74,4_pop_stim_full_inh_2,4,TE,0.5,6.25,0.0
75,4_pop_stim_full_inh_2,4,CC,0.5,6.25,0.0
76,4_pop_stim,4,RC,0.5,6.25,0.0
77,4_pop_stim,4,CN,0.5,6.25,0.0
78,4_pop_stim,4,TE,0.5,6.25,0.0
79,4_pop_stim,4,CC,0.5,6.25,0.0
80,4_pop_full_inh_pto_2,4,RC,0.43333333333333335,6.25,0.0
81,4_pop_full_inh_pto_2,4,CN,0.5,6.25,0.0
82,4_pop_full_inh_pto_2,4,TE,0.5,6.25,0.0
83,4_pop_full_inh_pto_2,4,CC,0.5,6.25,0.0
84,4_pop_full_inh_pto_1,4,RC,0.8666666666666667,6.25,6.25
85,4_pop_full_inh_pto_1,4,CN,0.5,6.25,0.0
86,4_pop_full_inh_pto_1,4,TE,0.5,6.25,0.0
87,4_pop_full_inh_pto_1,4,CC,0.5,6.25,0.0
88,4_pop_full_inh_pto_3,4,RC,0.4666666666666667,6.25,0.0
89,4_pop_full_inh_pto_3,4,CN,0.5,6.25,0.0
90,4_pop_full_inh_pto_3,4,TE,0.5,6.25,0.0
91,4_pop_full_inh_pto_3,4,CC,0.5,6.25,0.0
92,4_pop_stim_2,4,RC,,0.0,0.0
93,4_pop_stim_2,4,CN,,0.0,0.0
94,4_pop_stim_2,4,TE,,0.0,0.0
95,4_pop_stim_2,4,CC,,0.0,0.0
96,4_pop_full_inh_pto_5,4,RC,0.4,6.25,6.25
97,4_pop_full_inh_pto_5,4,CN,0.5,6.25,0.0
98,4_pop_full_inh_pto_5,4,TE,0.5,6.25,0.0
99,4_pop_full_inh_pto_5,4,CC,0.5,6.25,0.0
100,4_pop_stim_full_inh_4,4,RC,0.4666666666666667,6.25,6.25
101,4_pop_stim_full_inh_4,4,CN,0.5,6.25,0.0
102,4_pop_stim_full_inh_4,4,TE,0.5,6.25,0.0
103,4_pop_stim_full_inh_4,4,CC,0.5,6.25,0.0
104,4_pop_stim_1,4,RC,,0.0,0.0
105,4_pop_stim_1,4,CN,,0.0,0.0
106,4_pop_stim_1,4,TE,,0.0,0.0
107,4_pop_stim_1,4,CC,,0.0,0.0
108,4_pop_stim_full_inh_1,4,RC,0.33333333333333337,6.25,6.25
109,4_pop_stim_full_inh_1,4,CN,0.5,6.25,0.0
110,4_pop_stim_full_inh_1,4,TE,0.5,6.25,0.0
111,4_pop_stim_full_inh_1,4,CC,0.5,6.25,0.0
112,4_pop_full_inh_pto_4,4,RC,0.8666666666666667,6.25,0.0
113,4_pop_full_inh_pto_4,4,CN,0.5,6.25,0.0
114,4_pop_full_inh_pto_4,4,TE,0.5,6.25,0.0
115,4_pop_full_inh_pto_4,4,CC,0.5,6.25,0.0
116,60_pop_stim_5,60,RC,0.46962095875139354,0.33,1.67
117,60_pop_stim_5,60,CN,0.5,0.33,0.0
118,60_pop_stim_5,60,TE,0.5,0.33,0.0
119,60_pop_stim_5,60,CC,0.5,0.33,0.0
120,60_pop_stim_isol,60,RC,,0.0,0.0
121,60_pop_stim_isol,60,CN,,0.0,0.0
122,60_pop_stim_isol,60,TE,,0.0,0.0
123,60_pop_stim_isol,60,CC,,0.0,0.0
124,60_pop_stim_isol_3,60,RC,,0.0,0.53
125,60_pop_stim_isol_3,60,CN,,0.0,0.3888888888888889
126,60_pop_stim_isol_3,60,TE,,0.0,0.0
127,60_pop_stim_isol_3,60,CC,,0.0,0.0
128,60_pop_stim_full_inh_isol_1,60,RC,0.5607694888137693,2.14,0.75
129,60_pop_stim_full_inh_isol_1,60,CN,0.49829690604598353,2.14,0.2222222222222222
130,60_pop_stim_full_inh_isol_1,60,TE,0.5,2.14,0.0
131,60_pop_stim_full_inh_isol_1,60,CC,0.5,2.14,0.0
132,60_pop_stim_4,60,RC,0.4760579064587973,0.22,1.64
133,60_pop_stim_4,60,CN,0.5,0.22,0.0
134,60_pop_stim_4,60,TE,0.5,0.22,0.0
135,60_pop_stim_4,60,CC,0.5,0.22,0.0
136,60_pop_stim_full_inh_2,60,RC,0.6115461107178877,7.97,2.5
137,60_pop_stim_full_inh_2,60,CN,0.5,7.97,0.0
138,60_pop_stim_full_inh_2,60,TE,0.5,7.97,0.0
139,60_pop_stim_full_inh_2,60,CC,0.5,7.97,0.0
140,60_pop_stim_full_pto_2,60,RC,0.9548618471794362,7.39,4.69
141,60_pop_stim_full_pto_2,60,CN,0.5,7.39,0.0
142,60_pop_stim_full_pto_2,60,TE,0.5,7.39,0.0
143,60_pop_stim_full_pto_2,60,CC,0.5,7.39,0.0
144,60_pop_stim_full_inh__isol_pto_1,60,RC,0.8654373573904168,2.47,0.72
145,60_pop_stim_full_inh__isol_pto_1,60,CN,0.4978638564511535,2.47,0.3611111111111111
146,60_pop_stim_full_inh__isol_pto_1,60,TE,0.5,2.47,0.0
147,60_pop_stim_full_inh__isol_pto_1,60,CC,0.5,2.47,0.0
148,60_pop_stim_full_inh_1,60,RC,0.5549178375803763,7.92,0.89
149,60_pop_stim_full_inh_1,60,CN,0.5,7.92,0.0
150,60_pop_stim_full_inh_1,60,TE,0.5,7.92,0.0
151,60_pop_stim_full_inh_1,60,CC,0.5,7.92,0.0
