exp_name	q	stim	selected_m	selected_alpha	xrmse	auc	cc	tau
4_pop_full_inh_pto_1	120.0	0	10	0.7	0.2898766705308449	1.0	0.5807530283872948	7.155730141673391
4_pop_full_inh_pto_1	120.0	1	10	0.8	0.3852019458612472	1.0	0.1760229909934776	-0.8025715167935774
4_pop_full_inh_pto_1	120.0	2	10	0.8	0.3513742159314925	0.6666666666666666	0.2497753858918268	-5.158137814112892
32_pop_stim_isol_full_inh_2	273.9375	15	2	1.0	0.2381811839788138	0.7564102564102564	0.6343625948610967	-3.914550884152044
32_pop_stim_isol_full_inh_2	273.9375	18	2	1.0	0.2700236210302639	0.967741935483871	0.5653652320657867	-4.644003255404572
32_pop_stim_isol_full_inh_2	273.9375	24	2	1.0	0.254469162999449	0.3387096774193548	-0.0889607154222044	-6.644517862724658
4_pop_stim_2	976.5	0	2	0.6	0.088903182972399	1.0	0.9999423289118948	2.0763791211318394
32_pop_isol_stim_full_inb_2_new	445.09375	0	50	0.2	0.073923475873041	0.8869047619047618	0.7139897631935536	1.7753985766334308
32_pop_isol_stim_full_inb_2_new	445.09375	2	50	0.2	0.0852853302075182	0.9230769230769232	0.672177427916717	2.606413994169096
32_pop_isol_stim_full_inb_2_new	445.09375	5	50	0.2	0.0659404648792719	0.75	0.5142592948044339	1.2447257383966248
32_pop_isol_stim_full_inb_2_new	445.09375	6	50	0.2	0.0809248873983457	1.0	0.7771680994561792	4.012282803763995
32_pop_isol_stim_full_inb_2_new	445.09375	28	50	1.0	0.1154548969181744	0.8160919540229885	0.0865930219861606	2.878130006689895
16_pop_stim_full_inh_pto_4	68.875	5	5	0.9	0.1152959120691691	1.0	0.8197608336311506	2.0602583556888048
16_pop_stim_full_inh_pto_4	68.875	10	5	0.9	0.1414001481446815	1.0	0.6406997364323276	2.584456424079065
16_pop_stim_full_inh_pto_4	68.875	15	5	0.9	0.1203008471873681	1.0	0.8235900118848175	2.6552385157847
4_pop_stim_1	649.75	0	10	1.0	0.2695977553999	1.0	0.2775978848993591	0.0
4_pop_stim_1	649.75	1	10	0.2	0.0938903702908321	1.0	0.9981925448729092	2.6709230855691164
4_pop_stim_1	649.75	2	10	1.0	0.389482311240316	1.0	0.7284761972533615	1.0438714831959297
32_pop_full_inh_pto_1	97.9375	9	5	1.0	0.04345839818224	0.967741935483871	0.6970298121512927	10.726413502109704
32_pop_full_inh_pto_1	97.9375	26	5	1.0	0.0504613631303836	0.8709677419354839	0.1692497487523708	-1.136288105155302
32_pop_full_inh_pto_1	97.9375	31	5	1.0	0.1032577713077836	1.0	0.7950360573099774	3.701645726420103
16_isolated_full_inh_stim	8.3125	4	1	0.6	0.6118671493032414	0.2333333333333333	-0.1387036930131341	-2.9229193032026246
16_isolated_full_inh_stim	8.3125	13	1	0.9	0.4508250712563221	1.0	0.3259592222983615	1.472082622616354
16_pop_stim_full_inh	431.9375	3	5	1.0	0.0582008604873756	1.0	0.9816190949731276	-0.0060460165754798
16_pop_stim_full_inh	431.9375	9	5	0.8	0.1352278515699738	0.9666666666666668	0.5869911320104166	2.541629610082561
16_pop_stim_full_inh	431.9375	10	5	1.0	0.0660734534177709	1.0	0.8477047603896944	0.8256081092792128
16_pop_stim_full_inh_pto_2	508.25	6	2	0.1	0.1050006801678698	0.9871794871794872	0.9119978463894788	2.8252357688215817
16_pop_stim_full_inh_pto_2	508.25	9	2	1.0	0.1528780120112093	0.9666666666666668	0.5272604233837738	3.24577510569485
16_pop_stim_full_inh_pto_2	508.25	11	2	1.0	0.1422168693391046	1.0	0.9762982165636964	-2.093931862240128
4_pop_full_inh_pto_5	45.5	0	10	0.6	0.1685891077968079	1.0	0.9534297399113228	1.526454562994233
4_pop_full_inh_pto_5	45.5	1	10	0.7	0.3662003866572017	1.0	0.0775684763598287	-6.408500922954298
4_pop_full_inh_pto_5	45.5	2	10	0.6	0.2590602291628209	0.875	-0.9757708689318784	-10.231497384349698
16_pop_stim_full_inh_2	49.0	7	1	0.9	0.1734048395637615	1.0	0.6874456664095294	3.509960279999176
16_pop_stim_full_inh_2	49.0	14	1	1.0	0.3240812749718323	0.90625	0.4624485730253032	2.930049261083744
16_pop_stim_full_inh_2	49.0	15	1	0.6	0.2526973191108912	0.7454545454545455	0.0894221599600986	-4.817419862336845
8_pop_full_inh_stim_1	320.375	1	1	0.7	0.2898199016029281	1.0	0.2151277092236615	2.1102966966375853
8_pop_full_inh_stim_1	320.375	4	1	1.0	0.3331595288806928	0.0714285714285714	-0.3955468899261726	-13.063433104588276
8_pop_full_inh_stim_1	320.375	5	1	0.7	0.1797368518384046	1.0	0.9917785579085948	-2.4234813245701337
16_pop_stim_isolated_try_1	873.375	0	25	1.0	0.0925862987950119	1.0	0.6470694903999281	1.3894866146178864
16_pop_stim_isolated_try_1	873.375	10	25	1.0	0.1264373042217825	1.0	0.6315925811798274	2.3941175606510927
60_pop_stim_full_pto_2	85.53333333333333	0	2	0.8	0.0686515232256125	1.0	0.7085180367181791	5.470383275261323
60_pop_stim_full_pto_2	85.53333333333333	14	2	0.5	0.1131212353624636	0.9916666666666668	0.3722761992677689	11.556360536969953
60_pop_stim_full_pto_2	85.53333333333333	22	2	0.8	0.0430930030255164	0.1271186440677966	-0.1658881634724953	-10.637385154155885
8_pop_full_inh_stim_2	1470.0	2	10	0.9	0.1741269848025249	1.0	0.2437567437116693	0.4226886309751334
8_pop_full_inh_stim_2	1470.0	3	10	0.1	0.160171183739839	1.0	0.6214743821414628	2.7459643160577745
8_pop_full_inh_stim_2	1470.0	7	10	0.9	0.1954946451682957	1.0	0.6199528677122296	2.441736524238993
4_pop_stim_full_inh_4	108.5	1	10	0.1	0.3452872822535937	1.0	0.7092314136844463	1.4492753623188406
4_pop_stim_full_inh_4	108.5	2	10	0.1	0.561548254948706	0.5		-24.914634146341463
