sender	sample_num
86	67330
86	100488
88	126453
86	126720
86	163545
86	207780
86	311140
86	331557
88	338127
87	338158
86	390273
88	414033
86	414272
89	476530
90	476679
86	476780
87	476922
88	587594
86	587970
87	588825
86	606380
89	606889
86	629989
86	678775
89	695056
88	723798
86	731676
86	758262
88	759835
88	826213
90	952245
89	953326
87	974610
89	974670
86	974738
90	975053
86	1071453
90	1108797
86	1109144
86	1251975
88	1267140
86	1267280
87	1268676
90	1332344
86	1504222
86	1750944
86	2093664
86	2121500
90	2122184
88	2184493
86	2184527
90	2184795
87	2185761
89	2186089
86	2358134
86	2464929
86	2756574
87	2763191
88	2763273
86	2763398
89	2763404
86	2814450
90	2880219
86	2912808
86	2971117
86	3007433
88	3028609
86	3028851
89	3028993
90	3029359
87	3029499
86	3262666
89	3422535
87	3422545
86	3422725
86	3470396
88	3552978
86	3553285
89	3553440
87	3553699
86	3581119
86	3682202
86	3701888
86	3766491
88	3766560
86	3889102
90	3889496
86	4085709
88	4186922
89	4187135
90	4187150
87	4187183
86	4187236
86	4415646
86	4482995
86	4616556
86	4624907
86	4632079
90	4632613
86	4718014
90	4718432
88	4777856
86	4777993
90	4778224
89	4778692
87	4778937
86	4800697
86	4828436
86	5033122
90	5037160
88	5063433
86	5069758
86	5189998
87	5190670
90	5190796
89	5190951
86	5337734
86	5512564
86	5556840
86	5596541
86	5641795
88	5736038
86	5804287
86	5873041
86	5959189
90	6071788
87	6071792
87	6252523
86	6252668
89	6252678
90	6252797
90	6358609
86	6385709
86	6417473
86	6543954
90	6544365
86	6613974
86	6661021
87	6737096
86	6777397
86	6836536
86	6866023
86	6889964
86	6903619
86	6933625
86	6943261
86	7082491
86	7118342
87	7140014
88	7140507
89	7140637
86	7140642
90	7140720
86	7227361
90	7227883
89	7228970
87	7229042
88	7361358
86	7482243
86	7504811
86	7552023
87	7651110
86	7670704
90	7791946
88	7792544
86	7869174
89	7913033
86	7997655
90	7997758
88	7997815
89	7997894
87	7997929
86	7999234
86	8081498
88	8165285
86	8742047
87	8742071
88	8742555
90	8742614
89	8742786
86	8876770
86	8888643
86	8942365
86	9057653
86	9083721
86	9131414
88	9429479
87	9431540
90	9431864
86	9464423
86	9577386
86	9654891
86	9794241
86	9954690
86	9969276
86	10036897
86	10062595
87	10069930
86	10073567
86	10097546
86	10161437
89	10163637
90	10163859
87	10163959
88	10164711
86	10198867
86	10237639
86	10267203
86	10304431
86	10360328
89	10378681
86	10378688
88	10378712
87	10378982
90	10379960
88	10452718
86	10598077
88	10627076
86	10671762
86	10785242
90	10785731
86	10808140
87	10950045
89	10950048
86	10950187
87	10950377
90	10950677
88	10997070
86	11060879
90	11061420
86	11081730
86	11119032
89	11119187
86	11215096
87	11215702
86	11454021
90	11454059
87	11454408
86	11518705
86	11534932
86	11586045
86	11607230
86	11699618
86	11721809
87	11735669
86	11752410
88	11778711
89	11778972
90	11778976
86	11779192
87	11779216
86	11780492
86	11898058
88	11900003
89	11900154
90	11900179
87	11900478
86	11990940
89	12030919
87	12031081
90	12031094
86	12031221
89	12031336
86	12132157
86	12436298
86	12491241
86	12507362
86	12660997
86	12728574
88	12729962
86	12803250
86	12845348
86	12914359
86	13006544
86	13052339
89	13070593
86	13070884
87	13071168
90	13071294
86	13137122
88	13302466
86	13302935
90	13303076
87	13303218
88	13360706
86	13360993
86	13443181
88	13474052
86	13792565
86	13887733
86	13921348
86	14028410
86	14050026
88	14122797
87	14124623
86	14124675
89	14124939
90	14125329
86	14197726
86	14300372
86	14370719
90	14370840
87	14370975
86	14488586
88	14490594
89	14490596
90	14490603
87	14490725
90	14521056
86	14617598
88	14675260
86	14708270
88	15000515
89	15000527
86	15000544
90	15000581
87	15000604
87	15000675
90	15000684
86	15000691
89	15000718
88	15000757
88	15100523
89	15100558
90	15100569
86	15100583
87	15100632
90	15100669
88	15100716
89	15100722
86	15100733
87	15100755
90	15100796
88	15200506
89	15200535
86	15200542
90	15200565
87	15200582
87	15200672
86	15200674
90	15200680
89	15200703
86	15230907
87	15293111
86	15293455
90	15293878
89	15294097
88	15294213
88	15300524
89	15300571
90	15300572
86	15300629
87	15300637
86	15300760
89	15300801
90	15300820
87	15332960
89	15332986
86	15333115
90	15333152
88	15333918
86	15397933
88	15400505
89	15400545
86	15400572
90	15400597
87	15400623
87	15400689
86	15400714
89	15400724
