sender	time_ms
117	1035.47
116	1035.6
118	1035.64
119	1036.57
118	1041.83
117	1464.28
116	1464.72
120	1466.73
119	1466.8
118	1466.85
117	1478.48
118	1478.55
116	1478.92
116	1480.02
118	1480.37
119	1480.51
117	1481.17
120	1482.2
118	1860.34
117	1861.09
116	1862.82
119	1864.23
118	1865.98
116	1867.23
117	1867.27
117	1868.77
119	1868.81
118	1868.82
116	1869.76
120	1870.05
116	2622.1
116	3321.42
117	3321.59
118	3322.03
119	3323.45
116	3325.41
118	3325.47
120	3326.07
119	3326.83
118	3329.42
118	4194.08
116	4196.45
119	4197.08
117	4197.88
120	4198.77
119	4201.26
116	4203.38
118	4204.23
117	4204.49
116	4765.65
117	5205.82
118	5205.83
116	5206.88
119	5207.28
118	5207.99
117	5209.53
116	5209.85
118	5210.16
119	5210.63
117	5211.19
116	5214.34
120	5214.83
119	5216.8
116	5495.82
116	5856.57
117	5856.74
118	5856.78
119	5857.04
116	5857.57
118	5857.81
117	5858.56
120	5858.57
118	5859.26
116	5859.6
119	5860.62
116	7325.85
120	7563.32
116	7568.89
118	7568.99
117	7587.31
119	7601.75
116	7604.52
118	7608.68
116	8501.46
116	10237.98
116	10629.98
120	10634.31
118	10634.64
117	10637.41
118	10637.63
116	10638.23
119	10638.33
116	10639.39
119	10639.91
118	10642.02
116	10995.54
117	10995.65
118	10995.94
119	10996.98
116	10997.98
118	10998.24
117	11000.91
119	11000.98
120	11007.3
117	11349.21
116	11353.35
118	11354.4
116	11673.43
120	11679.79
119	11680.49
118	11680.56
116	11684.02
117	11685.39
118	11687.91
116	11688.12
117	11688.19
119	11690.28
118	11691.24
116	12039.26
116	12718.53
117	12719.52
118	12720.62
119	12721.53
116	12722.09
118	12723.49
117	12723.88
120	12724.99
119	12725.76
117	13413.87
118	13414.08
116	13414.29
119	13415.75
116	13416.07
118	13416.55
117	13416.64
120	13417.87
119	13418.6
118	13419.03
116	13421.52
116	13626.72
116	14259.85
116	14918.18
117	14918.45
118	14918.47
116	14919.07
119	14919.68
118	14920.44
120	14922.04
119	14922.41
116	14925.47
116	15578.44
117	15578.6
118	15578.67
118	15580.4
116	15580.79
119	15580.96
117	15581.7
120	15582.26
119	15582.54
118	15582.85
116	15583.83
117	16831.93
116	16832.14
118	16832.79
119	16833.4
118	16834.33
116	16834.82
118	16836.98
119	16837.66
117	16837.7
116	16838.05
120	16838.22
117	17342.49
118	17343.46
116	17344.46
117	17345.76
119	17346.32
116	17347.11
118	17347.3
119	17348.76
120	17349.06
116	17351.74
118	17352.09
116	17625.34
116	17979.73
118	18144.04
117	18144.73
116	18144.84
119	18145.63
120	18146.35
118	18146.99
116	18147.3
119	18151.6
118	18974.26
117	18974.96
116	18976.07
119	18976.29
118	18977.72
116	18978.26
117	18978.53
120	18979.41
118	18979.89
119	18980.04
116	19982.33
118	19985.4
117	19990.81
116	19991.6
118	19991.73
117	19991.81
116	19992.18
119	19992.24
118	19993.49
119	19994.07
120	19994.85
116	19995.14
117	20375.36
118	20376.11
116	20378.08
119	20378.67
120	20381.48
116	20385.09
117	20385.17
118	20386.87
119	20387.68
118	20388.6
116	20388.74
120	20391.17
116	21516.01
117	21972.38
118	21972.88
116	21973.02
116	21974.0
119	21974.21
118	21974.33
120	21975.81
117	21977.56
116	22299.16
118	23128.1
117	23128.79
116	23128.85
119	23130.03
116	23130.52
118	23132.21
120	23133.51
119	23133.6
116	23134.37
117	23135.14
116	23683.76
116	24260.6
117	25281.44
118	25281.53
116	25281.7
119	25282.44
116	25283.15
120	25283.31
118	25283.83
117	25293.09
118	25295.01
116	25728.03
117	25918.98
116	25919.07
118	25919.56
119	25920.99
120	25921.6
118	25921.62
116	25921.91
119	25923.15
118	26148.38
116	26303.76
116	26498.13
118	26652.91
117	26653.64
120	26656.87
119	26657.02
116	26657.65
118	26659.75
116	26660.42
119	26662.95
117	26665.36
118	27773.12
116	27913.87
119	27917.12
118	27919.16
120	27922.8
116	28134.13
116	28654.55
118	28965.94
117	28967.11
120	28970.48
119	28975.95
116	28975.99
117	28977.51
118	28977.62
116	28977.97
119	28979.54
118	28980.56
120	28981.42
116	28981.84
116	29579.81
117	29730.74
119	29731.04
116	29731.27
118	29731.54
118	29732.8
116	29733.08
117	29733.62
120	29734.74
119	29736.28
116	30218.1
118	30218.61
117	30218.74
119	30219.44
117	30220.06
118	30220.1
116	30220.12
119	30220.76
120	30221.8
116	30224.89
116	30586.5
116	30718.3
118	30720.09
119	30721.47
120	30724.93
117	30729.12
116	30730.03
117	30730.16
118	30730.62
119	30731.48
118	30732.18
116	30732.5
118	30733.77
117	32878.29
118	32879.25
116	32886.9
117	32888.71
119	32889.0
118	32889.11
116	32889.6
118	32890.29
117	32890.38
119	32891.21
116	32891.91
120	32893.1
119	33417.67
116	33421.38
118	33424.88
117	33427.04
120	33427.3
116	33437.3
117	33438.13
119	33438.34
118	33438.43
116	33439.54
118	33440.1
119	33440.71
117	33682.48
118	33682.56
116	33684.39
119	33684.77
120	33686.23
116	33691.74
117	33693.2
118	33695.15
117	33695.5
119	33695.63
116	33695.76
118	33696.22
116	34609.22
116	34715.9
117	37150.0
116	37161.9
116	37266.3
120	37273.09
117	38150.4
118	38150.67
116	38150.92
119	38151.07
118	38152.26
116	38152.3
120	38153.95
119	38153.99
117	38154.32
116	38156.57
116	38471.66
119	38471.99
117	38472.04
118	38472.15
118	38474.46
120	38475.87
116	38690.97
116	39282.77
116	39623.74
119	39623.87
117	39624.22
118	39624.23
118	39626.91
116	39627.62
117	39628.39
119	39629.12
118	39630.07
116	39630.12
120	39632.04
116	40009.17
118	40742.91
116	40748.47
117	40750.11
116	40750.66
119	40750.74
118	40752.12
119	40752.33
116	40752.62
120	40752.74
118	40754.15
116	40755.2
117	40757.43
117	41195.87
117	41482.04
116	41482.4
118	41483.55
119	41487.52
120	41488.97
117	41496.39
116	41499.98
116	42073.63
117	43071.85
116	43072.03
118	43072.25
117	43072.49
116	43073.08
118	43073.49
119	43073.82
116	43073.86
118	43075.11
116	43075.47
119	43075.56
120	43077.24
119	43078.92
119	43918.66
116	43961.16
116	44585.0
117	44672.8
118	44672.96
116	44673.18
119	44675.54
116	44675.58
120	44677.8
118	44679.21
119	44679.71
116	44851.3
116	45426.42
116	46132.78
116	46829.41
119	47567.55
116	47572.21
118	47574.09
117	47577.66
118	47578.16
116	47578.28
117	47579.05
116	47579.91
118	47580.11
119	47581.23
120	47582.13
116	47882.73
118	48172.09
117	49088.12
116	49154.86
116	50220.41
119	52146.33
120	52151.62
116	53493.12
117	53518.0
119	53518.56
118	53519.12
116	53519.95
120	53521.39
118	53521.41
116	53522.41
119	53522.86
118	53720.52
116	53720.8
117	53722.57
119	53723.09
116	53724.52
118	53725.23
117	53726.68
118	53728.75
119	53728.77
120	53729.01
116	54596.22
117	55143.38
116	55143.58
118	55144.7
119	55144.93
116	55145.58
117	55145.6
118	55146.28
120	55146.35
119	55146.67
116	55146.95
120	55147.0
118	55148.03
116	55149.24
116	56075.2
117	56109.69
118	56109.82
116	56110.1
119	56111.39
116	56112.47
118	56113.2
